"Installment management, payment & due reminders for payment - Pay due instalments > 30 Jun 2025, 11:28",,,
,,,
,,,
Message type: Archive,,,
,,,
,,,
,,,
Number,Date,Message type,Message
1,06/30/2025 11:28 AM,Archive,"url: [p54bil1-1c7i9g6h.oci4.sec] [SSUMNER], batchSize: 1000"
1,06/30/2025 11:28 AM,Archive,"schedule:INSTALM_REMINDER/FILES_SALES_CHANNEL=10229208980740,10229206141024,10229206190513,10229206196779,10229206885511,627325444,10229204013256,10229206679963,10229206196789,10229206679959,10229206885515,10229206885512,10229206885497,10229206885503,10229206885496,10229206885495,10229206196777,10229206679960,10229206885498,10229206885507,10229206196792,10229206885506,10229206679961,10229206196778,10229206885513,10229208023567,10229206196780,10229206679962,10229206196775,10229206885504,102292068"
1,06/30/2025 11:28 AM,Info,Start of instalment payments with aliases
1,06/30/2025 11:28 AM,Archive,Order | Instalment | Rank | File | Contact number | Email | Instalment amount | Remaining amount
1,06/30/2025 11:28 AM,Archive,"Pay with alias called with order:144,560, instalment: 10,229,207,070,729, point of sales: 10,229,203,823,680, alias: 1150990589, contact: 51302, amount: 61204.50 USD"
1,06/30/2025 11:28 AM,Error,"[Technical error] An error occurred while creating EPC payment for instalment 10,229,207,070,729 of order 144,560 / file 138,442. Error message: The payment 2144198274 has not been authorized. The instalment has not been processed."
1,06/30/2025 11:28 AM,Info,"Execution finished. 0 installments processed successfully, 0 with warnings, 0 with errors, 0 with timeout, 1 not processed."
1,06/30/2025 11:28 AM,Info,Total amount processed successfully: 0.00 USD
1,06/30/2025 11:28 AM,Info,Total amount processed by batch: 61204.50 USD
